"id","name","region","status"
"bloomberg_tv_us","Bloomberg TV US","US","206"
"newsmax2_us","Newsmax 2","US","206"
"cbs_news_us","CBS News","US","206"
"forty_eight_hours_us","48 Hours","US","200"
"dateline_247_us","Dateline 24/7","US","200"
"nbc_news_now_us","NBC News NOW","US","200"
"nbclx_us","NBCLX","US","206"
"cbs_news_24_7_us","CBS News 24/7","US","200"
"livenow_from_fox_us","LiveNOW from FOX","US","200"
"dateline_24_7_us","Dateline 24/7","US","200"
"nbc_news_now_us_2","NBC News NOW","US","200"
"newsmax2_us_2","Newsmax2","US","200"
"bbc_news_us","BBC News","US","200"
"abc_news_live_us","ABC News Live","US","200"
"local_now_us","Local Now","US","200"
"today_all_day_us","TODAY All Day","US","200"
"reuters_60_us","Reuters 60","US","200"
"sky_news_us","Sky News","US","200"
"cbc_news_us","CBC News","US","200"
"tyt_us","TYT","US","200"
"salem_news_channel_us","Salem News Channel","US","200"
"spectrum_news_us","Spectrum News+","US","200"
"fox_weather_us","Fox Weather","US","200"
"accuweather_now_us","AccuWeather NOW","US","200"
"oan_plus_us","OAN Plus","US","200"
"cnn_headlines_us","CNN Headlines","US","200"
"xumo_free_crime_tv_us","Xumo Free Crime TV","US","200"
"unsolved_mysteries_us","Unsolved Mysteries","US","200"
"universal_crime_us","Universal Crime","US","200"
"law_crime_us","Law&Crime","US","200"
"law_order_us","Law & Order","US","200"
"forensic_files_us","Forensic Files","US","200"
"reelz_famous_infamous_us","REELZ Famous & Infamous","US","200"
"midsomer_murders_us","Midsomer Murders","US","200"
"court_tv_legendary_trials_us","Court TV Legendary Trials","US","200"
"britbox_mysteries_us","BritBox Mysteries","US","200"
"tv_one_crime_justice_fast_channel_us","TV One CRIME & JUSTICE FAST CHANNEL","US","200"
"world_s_wildest_police_videos_us","World's Wildest Police Videos","US","200"
"lawless_by_lionsgate_us","Lawless by Lionsgate","US","200"
"the_f_b_i_us","The F.B.I.","US","200"
"a_e_crime_360_us","A&E Crime 360","US","200"
"live_pd_presents_us","Live PD Presents","US","200"
"the_first_48_by_a_e_us","The First 48 by A&E","US","200"
"20_20_us","20/20","US","200"
"bbc_drama_us","BBC Drama","US","200"
"bbc_earth_us","BBC Earth","US","200"
