"name","url","ok","status","error"
"92 News HD (720p)","http://92news.vdn.dstreamone.net/92newshd/92hd/playlist.m3u8","True","206",""
"Aaj Entertainment (1080p)","https://ml-pull-dvc-myco.io:2096/AAJ_ENTERTAINMENT/index.m3u8","True","206",""
"Bol Entertainment (1080p)","https://ml-pull-dvc-myco.io:2096/BOL_ENTERTAINMENT/index.m3u8","True","206",""
"Discover Pakistan (1080p)","https://livecdn.live247stream.com/discoverpakistan/web/playlist.m3u8","True","206",""
"Dunya News (INT Feed) (720p) [Not 24/7]","https://imob.dunyanews.tv/livehd/ngrp:dunyalivehd_2_all/playlist.m3u8","True","206",""
"Express Entertainment (1080p)","https://ml-pull-dvc-myco.io:2096/EXPRESS_ENTERTAINMENT/index.m3u8","True","206",""
"KTN News (360p)","https://vodzong.mjunoon.tv:8087/streamtest/KTNNews-151/playlist.m3u8","True","206",""
"Lahore News (720p) [Not 24/7]","https://vcdn.dunyanews.tv/lahorelive/ngrp:lnews_1_all/playlist.m3u8","True","206",""
"Such TV","https://video.primexsports.com/suchnews/live/playlist.m3u8","True","206",""
"BBC Four","https://streamer.nexyl.uk/48559ccd-6400-457d-8acc-06b9e24c2ed8.m3u8","True","200",""
"BBC News (1080p)","https://vs-cmaf-push-ww-live.akamaized.net/x=4/i=urn:bbc:pips:service:bbc_news_channel_hd/iptv_mse_v0_hevc.mpd","True","206",""
"BBC Three HD (720p)","https://streamer.nexyl.uk/39290a19-b8dd-43ea-b8dc-081c37790f24.m3u8","True","200",""
"BBC Two (1080p) [Geo-blocked]","https://rdmedia.api.bbc.co.uk/ll-trial/mpd/bbc_two_england/manifest.mpd","True","200",""
"Bloomberg TV Europe","https://bloomberg.com/media-manifest/streams/eu.m3u8","True","206",""
"CNBC Europe","https://amg01079-nbcuuk-amg01079c1-samsung-es-1261.playouts.now.amagi.tv/playlist/amg01079-nbcuukfast-cnbcpe-samsunges/playlist.m3u8","True","200",""
"CNBC UK","https://amg01079-nbcuuk-amg01079c2-lg-gb-2030.playouts.now.amagi.tv/playlist.m3u8","True","206",""
