"id","name","region","group_title","tvg_id","last_status","last_error"
"gb_news_uk","GB News","UK","News","GBNews.uk@SD","200","Removed as UK/PK non-popular or duplicate channel"
"bloomberg_originals_global_uk","Bloomberg Originals Global","UK","Documentary","BloombergOriginals.us@SD","206","Removed as UK/PK non-popular or duplicate channel"
"afghanistan_international_uk","Afghanistan International","UK","News","AfghanistanInternational.uk@SD","206","Removed as UK/PK non-popular or duplicate channel"
"iran_international_uk","Iran International","UK","News","IranInternational.uk@SD","206","Removed as UK/PK non-popular or duplicate channel"
"irane_farda_uk","IraneFarda TV","UK","News","IraneFardaTV.uk@SD","206","Removed as UK/PK non-popular or duplicate channel"
"horse_country_uk","Horse and Country TV","UK","Documentary","HorseCountryTV.uk@SD","206","Removed as UK/PK non-popular or duplicate channel"
"qvc_uk_beauty","QVC UK Beauty","UK","Shopping","QVCBeauty.uk@SD","200","Removed as UK/PK non-popular or duplicate channel"
"qvc_uk_extra","QVC UK Extra","UK","Shopping","QVCExtra.uk@SD","200","Removed as UK/PK non-popular or duplicate channel"
"qvc_uk_style","QVC UK Style","UK","Shopping","QVCStyle.uk@SD","200","Removed as UK/PK non-popular or duplicate channel"
"tbn_uk","TBN UK","UK","Religion","TBNUK.uk@SD","206","Removed as UK/PK non-popular or duplicate channel"
"pop_uk","Pop","UK","Kids","Pop.uk@SD","200","Removed as UK/PK non-popular or duplicate channel"
"bbc_arabic_720p_uk","BBC Arabic (720p)","UK","News","BBCArabic.uk@SD","206","Removed as UK/PK non-popular or duplicate channel"
"bbc_persian_720p_uk","BBC Persian (720p)","UK","News","BBCPersian.uk@SD","206","Removed as UK/PK non-popular or duplicate channel"
"dunya_news_uk_feed_720p_not_24_7_uk","Dunya News (UK Feed) (720p) [Not 24/7]","UK","News","DunyaNewsUK.uk@SD","206","Removed as UK/PK non-popular or duplicate channel"
"bbc_earth_1080p_uk","BBC Earth (1080p)","UK","Documentary","BBCEarth.uk@US","206","Removed as UK/PK non-popular or duplicate channel"
"history_hit_1080p_uk","History Hit (1080p)","UK","Documentary","HistoryHit.uk@SD","206","Removed as UK/PK non-popular or duplicate channel"
