"id","region","popular_match","name","group_title","tvg_id","last_status","score"
"92_news_hd_720p_pk","PK","92 News","92 News HD (720p)","News","92NewsHD.pk@SD","206","1003"
"aaj_entertainment_1080p_pk","PK","Aaj Entertainment","Aaj Entertainment (1080p)","Entertainment","AajEntertainment.pk@SD","206","995"
"bol_entertainment_1080p_pk","PK","Bol Entertainment","Bol Entertainment (1080p)","Entertainment","BolEntertainment.pk@SD","206","995"
"discover_pakistan_1080p_pk","PK","Discover Pakistan","Discover Pakistan (1080p)","Travel","DiscoverPakistan.pk@SD","206","995"
"dunya_news_int_feed_720p_not_24_7_pk","PK","Dunya News","Dunya News (INT Feed) (720p) [Not 24/7]","News","DunyaNews.pk@SD","206","981"
"express_entertainment_1080p_pk","PK","Express Entertainment","Express Entertainment (1080p)","Entertainment","ExpressEntertainment.pk@SD","206","991"
"ktn_news_360p_pk","PK","KTN News","KTN News (360p)","News","KTNNews.pk@SD","206","1005"
"lahore_news_720p_not_24_7_pk","PK","Lahore News","Lahore News (720p) [Not 24/7]","News","LahoreNews.pk@SD","206","991"
"such_tv_pk","PK","Such TV","Such TV","News","SuchTV.pk@SD","206","1025"
"bbc_four_uk","UK","BBC Four","BBC Four","Documentary","BBCFour.uk@UKHD","200","1014"
"bbc_news_1080p_uk","UK","BBC News","BBC News (1080p)","News","BBCNews.uk@Africa","206","1004"
"bbc_three_hd_720p_uk","UK","BBC Three","BBC Three HD (720p)","General","BBCThree.uk@HD","200","991"
"bbc_two_1080p_geo_blocked_uk","UK","BBC Two","BBC Two (1080p) [Geo-blocked]","General","BBCTwo.uk@England","200","981"
"bloomberg_tv_europe_uk","UK","Bloomberg TV Europe","Bloomberg TV Europe","News","BloombergTV.us@Europe","206","1013"
"cnbc_uk","UK","CNBC Europe","CNBC UK","News","CNBCUK.uk@SD","206","1025"
"gb_news_uk_2","UK","GB News","GB News","UK","GBNews.uk","206","1025"
"great_movies_uk","UK","Great! Movies","GREAT! movies","Movies","GREATmovies.uk@UK","200","1009"
"great_romance_1080p_uk","UK","Great! Romance","GREAT! romance (1080p)","Movies","GREATromance.uk@UK","200","988"
"great_british_menu_gb_uk","UK","Great! TV","Great British Menu (GB)","General","","206","-3"
"now_70s_uk","UK","Now 70s","Now 70s","Music","Now70s.uk","206","1025"
"now_80s_uk","UK","Now 80s","Now 80s","Music","Now80s.uk","206","1025"
"qvc_uk_540p_uk","UK","QVC","QVC UK (540p)","Shop","QVC.uk@SD","200","1397"
"qvc_beauty_uk","UK","QVC Beauty","QVC Beauty Ⓢ","UK","QVCBeautyUK.uk","200","1010"
"qvc_extra_uk","UK","QVC Extra","QVC Extra Ⓢ","UK","QVCExtraUK.uk","200","1011"
"qvc_style_uk","UK","QVC Style","QVC Style Ⓢ","UK","QVCStyleUK.uk","200","1011"
"s4c_uk","UK","S4C","S4C","General","S4C.uk","206","1429"
"space_live_uk","UK","Sky Arts","Space Live","Science","SpaceLivepoweredbysen.uk@SD","200","12"
"sky_news_weather_uk","UK","Sky News","Sky News Weather","Science","SkyNewsWeather.uk@SD","200","6"
"talktv_uk","UK","TalkTV","TalkTV","News","TalkTV.uk@SD","206","1426"
"tjc_1080p_uk","UK","TJC","TJC (1080p)","Shop","TJC.uk@SD","200","1399"
