"id","popular_match","name","region","group_title","tvg_id","stream_url","last_status","score"
"storage_wars_by_a_e_us","A&E","Storage Wars by A&E","US","XUMO🇺🇸: Reality TV","XUMO_99951475","https://dbrb49pjoymg4.cloudfront.net/10001/99951475/hls/playlist.m3u8?ads.xumo_channelId=99951475&ads.xumo_streamId=99951475&ads.channelId=99951475&ads.channelName=AEStorageWars_us&ads.caid=AEStorageWars&ads.csid=xumo_[PLATFORM]_AEStorageWars_ssai&ads._fw_coppa=0&ads.xumo_contentId=4321&ads.xumo_contentName=AEStorageWars&ads.xumo_providerId=4321&ads.xumo_providerName=AEStorageWars&ads._fw_ifa_type=[IFA_TYPE]&ads._fw_did=[IFA]&ads.amznappId=[AMZN_APP_ID]&ads.lat=[LAT]&ads.lon=[LON]&ads.os=[OS]&ads.osv=[OS_VERSION]&ads._fw_is_lat=[IS_LAT]&ads._fw_us_privacy=[CCPA_Value]&ads.genre=Reality,Drama,GD,Entertainment,GV,Reality-TV,Reality+Shows&ads._fw_content_category=[IAB_content_category]&ads._fw_content_language=[content_language]&ads._fw_content_genre=Reality,Drama,GD,Entertainment,GV,Reality-TV,Reality+Shows&ads._fw_content_rating=[content_rating]&ads._fw_deviceMake=[device_make]&ads._fw_device_model=[device_model]&ads.xumo_platform=[PLATFORM]&ads.site_id=[publica_site_id]&ads.appVersion=[APP_VERSION]&ads._fw_app_bundle=[app_bundle]&ads._fw_app_store_url=[app_store_url]&ads.appName=XumoPlay","200","6"
"the_first_48_by_a_e_us","A&E","The First 48 by A&E","US","News","XUMO_99951490","https://dbrb49pjoymg4.cloudfront.net/10001/99951490/hls/playlist.m3u8?ads.xumo_channelId=99951490&ads.xumo_streamId=99951490&ads.channelId=99951490&ads.channelName=AETheFirst48_us&ads.caid=AETheFirst48&ads.csid=xumo_[PLATFORM]_AETheFirst48_ssai&ads._fw_coppa=0&ads.xumo_contentId=4330&ads.xumo_contentName=AETheFirst48&ads.xumo_providerId=4330&ads.xumo_providerName=AETheFirst48&ads._fw_ifa_type=[IFA_TYPE]&ads._fw_did=[IFA]&ads.amznappId=[AMZN_APP_ID]&ads.lat=[LAT]&ads.lon=[LON]&ads.os=[OS]&ads.osv=[OS_VERSION]&ads._fw_is_lat=[IS_LAT]&ads._fw_us_privacy=[CCPA_Value]&ads.genre=Documentary,Crime,DO,Entertainment,GV,SM&ads._fw_content_category=[IAB_content_category]&ads._fw_content_language=[content_language]&ads._fw_content_genre=Documentary,Crime,DO,Entertainment,GV,SM&ads._fw_content_rating=[content_rating]&ads._fw_deviceMake=[device_make]&ads._fw_device_model=[device_model]&ads.xumo_platform=[PLATFORM]&ads.site_id=[publica_site_id]&ads.appVersion=[APP_VERSION]&ads._fw_app_bundle=[app_bundle]&ads._fw_app_store_url=[app_store_url]&ads.appName=XumoPlay","200","14"
"abc_wplg_dt1_miami_fl_720p_us","ABC","ABC (WPLG-DT1) Miami FL (720p)","US","News","WPLG101.us@HD","https://pubads.g.doubleclick.net/ssai/event/tQD6w9OJQVOobcyV3Dammw/master.m3u8","200","-12"
"abc_10_news_us_geo_us","ABC","ABC 10 News (US) Geo","US","General","","https://amg01438-ewscripps-amg01438c6-lg-us-4346.playouts.now.amagi.tv/playlist.m3u8","206","8"
"abc_13_us_geo_us","ABC","ABC 13 (US) Geo","US","General","","https://amg01438-ewscripps-amg01438c18-lg-us-4335.playouts.now.amagi.tv/playlist.m3u8","206","13"
"abc_2_baltimore_md_wmar_720p_us","ABC","ABC 2 Baltimore MD (WMAR) (720p)","US","News","WMARTV21.us@HD","https://aegis-cloudfront-1.tubi.video/c28d1ca8-9467-4798-81dc-09c1d6e90be1/playlist.m3u8","206","-4"
"abc_27_tallahassee_fl_wtxl_720p_us","ABC","ABC 27 Tallahassee FL (WTXL) (720p)","US","News","WTXLTV271.us@HD","https://aegis-cloudfront-1.tubi.video/e739361e-fa12-4cac-92f3-e0dbf332cd88/playlist.m3u8","206","-7"
"abc_9_manchester_nh_wmur_tv_720p_us","ABC","ABC 9 Manchester NH (WMUR-TV) (720p)","US","News;Weather","WMURTV91.us@HD","https://aegis-cloudfront-1.tubi.video/b77ffe96-c5d1-43a7-8687-306ff244d725/playlist.m3u8","206","-8"
"abc_9_orlando_fl_wftv_720p_us","ABC","ABC 9 Orlando FL (WFTV) (720p)","US","News","WFTV91.us@HD","https://amg00327-coxmediagroup-wftvbreaking-ono-hec7b.amagi.tv/playlist/amg00327-coxmediagroup-wftvbreaking-ono/playlist.m3u8","200","-12"
"abc_news_live_1_720p_us","ABC","ABC News Live 1 (720p)","US","News","ABCNewsLive1.us@SD","https://abcnews-streams.akamaized.net/hls/live/2023560/abcnewshudson1/master_4000.m3u8","200","-4"
