"id","name","region","group_title","tvg_id","enabled","last_checked_ok","last_status","last_error"
"court_tv_us","Court TV","US","News","CourtTV.us@SD","false","true","200",""
"newsmax2_us","Newsmax 2","US","News","Newsmax2.us@SD","false","true","200",""
"nasa_tv_media_us","NASA TV Media","US","Science","NASATVMedia.us","false","true","200",""
"forty_eight_hours_us","48 Hours","US","News","48Hours.us@US","false","true","200",""
"dateline_247_us","Dateline 24/7","US","News","Dateline247.us@SD","false","true","200",""
"nbclx_us","NBCLX","US","News","NBCLX.us@SD","false","true","200",""
"kqed_dt2_us","KQED-DT2","US","Documentary","KQED92.us@HD","false","true","206",""
"kvie_dt2_us","KVIE-DT2","US","Documentary","KVIE62.us@HD","false","true","206",""
"wgtv_dt3_us","WGTV-DT3","US","Documentary","WGTV83.us@SD","false","true","206",""
"wedq_dt4_us","WEDQ-DT4","US","Documentary","WEDQ34.us@HD","false","true","206",""
"cbs_news_24_7_us","CBS News 24/7","US","News","XUMO_99991158","false","true","200",""
"outdoor_america_us","Outdoor America","US","General","XUMO_99991374","false","true","200",""
"dateline_24_7_us","Dateline 24/7","US","News","XUMO_99991626","false","true","200",""
"nbc_news_now_us_2","NBC News NOW","US","News","XUMO_99991247","false","true","200",""
"bbc_news_us","BBC News","US","News","XUMO_99951298","false","true","200",""
"moviesphere_by_lionsgate_us","MovieSphere by Lionsgate","US","General","XUMO_99951251","false","true","200",""
"universal_westerns_us","Universal Westerns","US","General","XUMO_99951255","false","true","200",""
"the_wu_tang_collection_tv_us","The Wu Tang Collection TV","US","General","XUMO_99991745","false","true","200",""
"today_all_day_us","TODAY All Day","US","News","XUMO_99991245","false","true","200",""
"reuters_60_us","Reuters 60","US","News","XUMO_99951197","false","true","200",""
"sky_news_us","Sky News","US","News","XUMO_99951223","false","true","200",""
"cbc_news_us","CBC News","US","News","XUMO_99991276","false","true","200",""
"tyt_us","TYT","US","News","XUMO_99991147","false","true","200",""
"salem_news_channel_us","Salem News Channel","US","News","XUMO_99951283","false","true","200",""
"spectrum_news_us","Spectrum News+","US","News","XUMO_99951337","false","true","200",""
"accuweather_now_us","AccuWeather NOW","US","News","XUMO_99991649","false","true","200",""
"cnn_headlines_us","CNN Headlines","US","News","XUMO_99951386","false","true","200",""
"hi_yah_us","Hi-Yah!","US","General","XUMO_99991302","false","true","200",""
"shades_of_black_us","Shades of Black","US","General","XUMO_9995106","false","true","200",""
"gravitas_movies_us","Gravitas Movies","US","General","XUMO_99991312","false","true","200",""
"documentary_us","DOCUMENTARY+","US","General","XUMO_99991638","false","true","200",""
"cinelife_us","CineLife","US","General","XUMO_99991399","false","true","200",""
"stash_tv_us","Stash TV","US","General","XUMO_99991300","false","true","200",""
"ebony_tv_by_lionsgate_us","Ebony TV by Lionsgate","US","General","XUMO_99951293","false","true","200",""
"filmrise_us","FilmRise","US","General","XUMO_99991337","false","true","200",""
"maverick_black_cinema_us","Maverick Black Cinema","US","General","XUMO_99991336","false","true","200",""
"outflix_movies_us","OUTflix Movies","US","General","XUMO_99951288","false","true","200",""
"universal_movies_us","Universal Movies","US","General","XUMO_99991621","false","true","200",""
"hersphere_by_lionsgate_us","HerSphere by Lionsgate","US","General","XUMO_99951382","false","true","200",""
"shout_movies_us","Shout! Movies","US","General","XUMO_99951411","false","true","200",""
"murder_she_wrote_us","Murder, She Wrote","US","General","XUMO_99951239","false","true","200",""
"ghost_hunters_channel_us","Ghost Hunters Channel","US","General","XUMO_99951277","false","true","200",""
"xumo_free_nature_wildlife_tv_us","Xumo Free Nature & Wildlife TV","US","Documentary","XUMO_99951218","false","true","200",""
"deal_or_no_deal_us","Deal Or No Deal","US","General","XUMO_99991113","false","true","200",""
"anger_management_channel_us","Anger Management Channel","US","General","XUMO_99951192","false","true","200",""
"the_lone_ranger_us","The Lone Ranger","US","General","XUMO_99951258","false","true","200",""
"the_walking_dead_universe_us","The Walking Dead Universe","US","General","XUMO_99991623","false","true","200",""
"classic_doctor_who_us","Classic Doctor Who","US","General","XUMO_99951248","false","true","200",""
"outersphere_by_lionsgate_us","OuterSphere by Lionsgate","US","General","XUMO_99951250","false","true","200",""
"alfred_hitchcock_presents_us","Alfred Hitchcock Presents","US","General","XUMO_99951256","false","true","200",""
"alien_nation_by_dust_us","Alien Nation by DUST","US","General","XUMO_99991292","false","true","200",""
"the_asylum_us","The Asylum","US","General","XUMO_99991331","false","true","200",""
"dark_matter_tv_us","Dark Matter TV","US","General","XUMO_9999615","false","true","200",""
