"id","name","region","language","tvg_id","tvg_logo","group_title","stream_url","enabled","last_checked_ok","last_checked_at_utc","last_status","last_error","popular_match"
"a_e_crime_360_us","A&E Crime 360","US","English","XUMO_99951471","https://image.xumo.com/v1/channels/channel/99951471/300x300.webp?type=color_onBlack","News","https://dbrb49pjoymg4.cloudfront.net/10001/99951471/hls/playlist.m3u8?ads.xumo_channelId=99951471&ads.xumo_streamId=99951471&ads.channelId=99951471&ads.channelName=AECrime360byAE_us&ads.caid=AECrime360byAE&ads.csid=xumo_[PLATFORM]_AECrime360byAE_ssai&ads._fw_coppa=0&ads.xumo_contentId=4317&ads.xumo_contentName=AECrime360byAE&ads.xumo_providerId=4317&ads.xumo_providerName=AECrime360byAE&ads._fw_ifa_type=[IFA_TYPE]&ads._fw_did=[IFA]&ads.amznappId=[AMZN_APP_ID]&ads.lat=[LAT]&ads.lon=[LON]&ads.os=[OS]&ads.osv=[OS_VERSION]&ads._fw_is_lat=[IS_LAT]&ads._fw_us_privacy=[CCPA_Value]&ads.genre=Documentary,Crime,DO,Entertainment,GV,SM&ads._fw_content_category=[IAB_content_category]&ads._fw_content_language=[content_language]&ads._fw_content_genre=Documentary,Crime,DO,Entertainment,GV,SM&ads._fw_content_rating=[content_rating]&ads._fw_deviceMake=[device_make]&ads._fw_device_model=[device_model]&ads.xumo_platform=[PLATFORM]&ads.site_id=[publica_site_id]&ads.appVersion=[APP_VERSION]&ads._fw_app_bundle=[app_bundle]&ads._fw_app_store_url=[app_store_url]&ads.appName=XumoPlay","true","true","2026-05-07T14:01:49.2105459Z","200","","A&E"
"a_e_latin_america_south_480p_us","A&E Latin America South (480p)","US","English","AELatinAmerica.us@South","https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/A%26E_Network_logo.svg/960px-A%26E_Network_logo.svg.png","Entertainment","http://201.217.246.42:44310/Live/3fcb6e26785fd8d415571b26dc3cf5d3/local-71_480.m3u8","true","true","2026-05-07T14:01:49.2105459Z","206","","A&E"
"storage_wars_by_a_e_us","Storage Wars by A&E","US","English","XUMO_99951475","https://image.xumo.com/v1/channels/channel/99951475/300x300.webp?type=color_onBlack","XUMO🇺🇸: Reality TV","https://dbrb49pjoymg4.cloudfront.net/10001/99951475/hls/playlist.m3u8?ads.xumo_channelId=99951475&ads.xumo_streamId=99951475&ads.channelId=99951475&ads.channelName=AEStorageWars_us&ads.caid=AEStorageWars&ads.csid=xumo_[PLATFORM]_AEStorageWars_ssai&ads._fw_coppa=0&ads.xumo_contentId=4321&ads.xumo_contentName=AEStorageWars&ads.xumo_providerId=4321&ads.xumo_providerName=AEStorageWars&ads._fw_ifa_type=[IFA_TYPE]&ads._fw_did=[IFA]&ads.amznappId=[AMZN_APP_ID]&ads.lat=[LAT]&ads.lon=[LON]&ads.os=[OS]&ads.osv=[OS_VERSION]&ads._fw_is_lat=[IS_LAT]&ads._fw_us_privacy=[CCPA_Value]&ads.genre=Reality,Drama,GD,Entertainment,GV,Reality-TV,Reality+Shows&ads._fw_content_category=[IAB_content_category]&ads._fw_content_language=[content_language]&ads._fw_content_genre=Reality,Drama,GD,Entertainment,GV,Reality-TV,Reality+Shows&ads._fw_content_rating=[content_rating]&ads._fw_deviceMake=[device_make]&ads._fw_device_model=[device_model]&ads.xumo_platform=[PLATFORM]&ads.site_id=[publica_site_id]&ads.appVersion=[APP_VERSION]&ads._fw_app_bundle=[app_bundle]&ads._fw_app_store_url=[app_store_url]&ads.appName=XumoPlay","true","true","2026-05-07T14:01:49.2105459Z","200","","A&E"
"the_first_48_by_a_e_us","The First 48 by A&E","US","English","XUMO_99951490","https://image.xumo.com/v1/channels/channel/99951490/300x300.webp?type=color_onBlack","News","https://dbrb49pjoymg4.cloudfront.net/10001/99951490/hls/playlist.m3u8?ads.xumo_channelId=99951490&ads.xumo_streamId=99951490&ads.channelId=99951490&ads.channelName=AETheFirst48_us&ads.caid=AETheFirst48&ads.csid=xumo_[PLATFORM]_AETheFirst48_ssai&ads._fw_coppa=0&ads.xumo_contentId=4330&ads.xumo_contentName=AETheFirst48&ads.xumo_providerId=4330&ads.xumo_providerName=AETheFirst48&ads._fw_ifa_type=[IFA_TYPE]&ads._fw_did=[IFA]&ads.amznappId=[AMZN_APP_ID]&ads.lat=[LAT]&ads.lon=[LON]&ads.os=[OS]&ads.osv=[OS_VERSION]&ads._fw_is_lat=[IS_LAT]&ads._fw_us_privacy=[CCPA_Value]&ads.genre=Documentary,Crime,DO,Entertainment,GV,SM&ads._fw_content_category=[IAB_content_category]&ads._fw_content_language=[content_language]&ads._fw_content_genre=Documentary,Crime,DO,Entertainment,GV,SM&ads._fw_content_rating=[content_rating]&ads._fw_deviceMake=[device_make]&ads._fw_device_model=[device_model]&ads.xumo_platform=[PLATFORM]&ads.site_id=[publica_site_id]&ads.appVersion=[APP_VERSION]&ads._fw_app_bundle=[app_bundle]&ads._fw_app_store_url=[app_store_url]&ads.appName=XumoPlay","true","true","2026-05-07T14:01:49.2105459Z","200","","A&E"
"abc_wplg_dt1_miami_fl_720p_us","ABC (WPLG-DT1) Miami FL (720p)","US","English","WPLG101.us@HD","https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/WPLG_Local_10_%282014%2C_without_ABC_logo%29.svg/500px-WPLG_Local_10_%282014%2C_without_ABC_logo%29.svg.png","News","https://pubads.g.doubleclick.net/ssai/event/tQD6w9OJQVOobcyV3Dammw/master.m3u8","true","true","2026-05-07T14:01:49.2105459Z","200","","ABC"
"abc_10_news_us_geo_us","ABC 10 News (US) Geo","US","English","","","General","https://amg01438-ewscripps-amg01438c6-lg-us-4346.playouts.now.amagi.tv/playlist.m3u8","true","true","2026-05-07T14:01:49.2105459Z","206","","ABC"
"abc_13_us_geo_us","ABC 13 (US) Geo","US","English","","","General","https://amg01438-ewscripps-amg01438c18-lg-us-4335.playouts.now.amagi.tv/playlist.m3u8","true","true","2026-05-07T14:01:49.2105459Z","206","","ABC"
"abc_2_baltimore_md_wmar_720p_us","ABC 2 Baltimore MD (WMAR) (720p)","US","English","WMARTV21.us@HD","https://upload.wikimedia.org/wikipedia/en/d/db/2_ABC_WMAR_Baltimore.png","News","https://aegis-cloudfront-1.tubi.video/c28d1ca8-9467-4798-81dc-09c1d6e90be1/playlist.m3u8","true","true","2026-05-07T14:01:49.2105459Z","206","","ABC"
"abc_27_tallahassee_fl_wtxl_720p_us","ABC 27 Tallahassee FL (WTXL) (720p)","US","English","WTXLTV271.us@HD","https://upload.wikimedia.org/wikipedia/commons/2/27/WWAY_logo.png","News","https://aegis-cloudfront-1.tubi.video/e739361e-fa12-4cac-92f3-e0dbf332cd88/playlist.m3u8","true","true","2026-05-07T14:01:49.2105459Z","206","","ABC"
"abc_9_manchester_nh_wmur_tv_720p_us","ABC 9 Manchester NH (WMUR-TV) (720p)","US","English","WMURTV91.us@HD","https://upload.wikimedia.org/wikipedia/en/7/72/WMURCurrentLogo.png","News;Weather","https://aegis-cloudfront-1.tubi.video/b77ffe96-c5d1-43a7-8687-306ff244d725/playlist.m3u8","true","true","2026-05-07T14:01:49.2105459Z","206","","ABC"
