"id","popular_match","name","region","group_title","tvg_id","stream_url","last_status","score"
"a_e_crime_360_us","A&E","A&E Crime 360","US","News","XUMO_99951471","https://dbrb49pjoymg4.cloudfront.net/10001/99951471/hls/playlist.m3u8?ads.xumo_channelId=99951471&ads.xumo_streamId=99951471&ads.channelId=99951471&ads.channelName=AECrime360byAE_us&ads.caid=AECrime360byAE&ads.csid=xumo_[PLATFORM]_AECrime360byAE_ssai&ads._fw_coppa=0&ads.xumo_contentId=4317&ads.xumo_contentName=AECrime360byAE&ads.xumo_providerId=4317&ads.xumo_providerName=AECrime360byAE&ads._fw_ifa_type=[IFA_TYPE]&ads._fw_did=[IFA]&ads.amznappId=[AMZN_APP_ID]&ads.lat=[LAT]&ads.lon=[LON]&ads.os=[OS]&ads.osv=[OS_VERSION]&ads._fw_is_lat=[IS_LAT]&ads._fw_us_privacy=[CCPA_Value]&ads.genre=Documentary,Crime,DO,Entertainment,GV,SM&ads._fw_content_category=[IAB_content_category]&ads._fw_content_language=[content_language]&ads._fw_content_genre=Documentary,Crime,DO,Entertainment,GV,SM&ads._fw_content_rating=[content_rating]&ads._fw_deviceMake=[device_make]&ads._fw_device_model=[device_model]&ads.xumo_platform=[PLATFORM]&ads.site_id=[publica_site_id]&ads.appVersion=[APP_VERSION]&ads._fw_app_bundle=[app_bundle]&ads._fw_app_store_url=[app_store_url]&ads.appName=XumoPlay","200","20"
"abc_wway_3_us","ABC","ABC WWAY 3","US","News","WWAY31.us@HD","https://townnews.g-mana.live/media/027a05c7-43b6-49eb-ad10-a0c0f10a0754/main.m3u8","200","23"
"abc_news_live_us","ABC News Live","ABC News Live","US","News","XUMO_99951517","https://dbrb49pjoymg4.cloudfront.net/10001/99951517/hls/master.m3u8?ads.xumo_channelId=99951517&ads.xumo_streamId=99951517&ads.channelId=99951517&ads.channelName=ABC_us&ads.caid=ABC&ads.csid=xumo_[PLATFORM]_ABC_ssai&ads.genre=News,N&ads._fw_content_genre=News,N&ads._fw_coppa=0&ads.xumo_contentId=58&ads.xumo_contentName=ABC&ads.xumo_providerId=58&ads.xumo_providerName=ABC&ads._fw_ifa_type=[IFA_TYPE]&ads._fw_did=[IFA]&ads.amznappId=[AMZN_APP_ID]&ads.lat=[LAT]&ads.lon=[LON]&ads.os=[OS]&ads.osv=[OS_VERSION]&ads._fw_is_lat=[IS_LAT]&ads._fw_us_privacy=[CCPA_Value]&ads._fw_content_category=[IAB_content_category]&ads._fw_content_language=[content_language]&ads._fw_content_rating=[content_rating]&ads._fw_deviceMake=[device_make]&ads._fw_device_model=[device_model]&ads.xumo_platform=[PLATFORM]&ads.site_id=[publica_site_id]&ads.appVersion=[APP_VERSION]&ads._fw_app_bundle=[app_bundle]&ads._fw_app_store_url=[app_store_url]&ads.appName=XumoPlay","200","1020"
"acc_digital_network_us","ACC Network","ACC Digital Network","US","General","XUMO_99951364","https://dbrb49pjoymg4.cloudfront.net/10001/99951364/hls/playlist.m3u8?ads.xumo_channelId=99951364&ads.xumo_streamId=99951364&ads.channelId=99951364&ads.channelName=accdigitalnetwork_us&ads.caid=ACCDigitalNetwork&ads.csid=xumo_[PLATFORM]_ACCDigitalNetwork_ssai&ads.genre=Sport,Sports,SC&ads._fw_content_genre=Sport,Sports,SC&ads._fw_coppa=0&ads.xumo_contentId=251&ads.xumo_contentName=ACCDigitalNetwork&ads.xumo_providerId=251&ads.xumo_providerName=ACCDigitalNetwork&ads._fw_ifa_type=[IFA_TYPE]&ads._fw_did=[IFA]&ads.amznappId=[AMZN_APP_ID]&ads.lat=[LAT]&ads.lon=[LON]&ads.os=[OS]&ads.osv=[OS_VERSION]&ads._fw_is_lat=[IS_LAT]&ads._fw_us_privacy=[CCPA_Value]&ads._fw_content_category=[IAB_content_category]&ads._fw_content_language=[content_language]&ads._fw_content_rating=[content_rating]&ads._fw_deviceMake=[device_make]&ads._fw_device_model=[device_model]&ads.xumo_platform=[PLATFORM]&ads.site_id=[publica_site_id]&ads.appVersion=[APP_VERSION]&ads._fw_app_bundle=[app_bundle]&ads._fw_app_store_url=[app_store_url]&ads.appName=XumoPlay","200","14"
"accuweather_us","AccuWeather","Accuweather","US","General","","https://accuweatherx-lg.amagi.tv/playlist.m3u8","206","1032"
"amc_absolute_reality_us","AMC","AMC Absolute Reality","US","Entertainment","AbsoluteRealitybyWETV.us@SD","https://amc-absolutereality-1-us.plex.wurl.tv/playlist.m3u8","206","23"
"bbc_america_us","BBC America","BBC America","US","Entertainment","BBCAmerica.us@East","https://bcovlive-a.akamaihd.net/7f5ec16d102f4b5d92e8e27bc95ff424/us-east-1/6240731308001/playlist.m3u8","200","1022"
"bein_sports_xtra_us","beIN Sports XTRA","beIN SPORTS XTRA","US","General","XUMO_99991387","https://bein-xtra-xumo.amagi.tv/hls/amagi_hls_data_beinAAAAA-bein-xtra-xumoA/CDN/master.m3u8?is_lat=[IS_LAT]&us_privacy=[CCPA_Value]","200","1017"
"bet_cinema_us","BET","BET Cinema","US","Movies","BlackCinema.us@SD","https://jmp2.uk/plu-58af4c093a41ca9d4ecabe96.m3u8","200","23"
"bloomberg_tv_us","Bloomberg TV","Bloomberg TV US","US","News","BloombergTV.us@US","https://bloomberg.com/media-manifest/streams/us.m3u8","206","1028"
"bounce_xl_us","Bounce","Bounce XL","US","General","XUMO_9999613","https://dbrb49pjoymg4.cloudfront.net/10001/9999613/hls/playlist.m3u8?includeAssetTags=true&ads.xumo_channelId=9999613&ads._fw_ifa_type=[IFA_TYPE]&ads._fw_did=[IFA]&ads.amznappId=[AMZN_APP_ID]&ads.lat=[LAT]&ads.lon=[LON]&ads.os=[OS]&ads.osv=[OS_VERSION]&ads.asnw=&ads.caid=BounceXL&ads.csid=xumo_[PLATFORM]_BounceXL_ssai&ads._fw_is_lat=[IS_LAT]&ads._fw_us_privacy=[CCPA_Value]&ads._fw_coppa=0&ads.genre=Comedy,Entertainment,GV&ads._fw_content_category=[IAB_content_category]&ads._fw_content_language=[content_language]&ads._fw_content_genre=Comedy,Entertainment,GV&ads._fw_content_rating=[content_rating]&ads.xumo_contentId=3342&ads.xumo_contentName=BounceXL&ads.xumo_providerId=3342&ads.xumo_providerName=BounceXL&ads._fw_deviceMake=[device_make]&ads._fw_device_model=[device_model]&ads.channelId=9999613&ads.xumo_platform=[PLATFORM]&ads.site_id=[publica_site_id]&ads.appName=xumo&ads.appVersion=[APP_VERSION]&ads._fw_app_bundle=[app_bundle]&ads._fw_app_store_url=[app_store_url]","200","24"
"bravo_vault_us","Bravo","Bravo Vault","US","XUMO🇺🇸: Reality TV","XUMO_99951242","https://d4whmvwm0rdvi.cloudfront.net/10007/99951242/hls/master.m3u8?ads.xumo_channelId=99951242&ads.asnw=169843&ads.afid=380682251&ads.sfid=19194677&ads.csid=xumo_[PLATFORM]_NBCUBravoVault_ssai_cro&ads._fw_is_lat=[IS_LAT]&ads._fw_us_privacy=[CCPA_Value]&ads._fw_coppa=0&ads._fw_did=[IFA]&ads._fw_vcid2=512116:[IFA]&ads._fw_app_bundle=[app_bundle]&ads._fw_app_store_url=[app_store_url]&ads._fw_content_category=[IAB_content_category]&ads._fw_content_genre=Reality,Drama,GD,Entertainment,GV,Reality-TV,Reality+Shows&ads._fw_content_language=[content_language]&ads._fw_content_rating=[content_rating]&ads._fw_deviceMake=[device_make]&ads._fw_device_model=[device_model]&ads._fw_deviceType=3-Connected_TV&ads.appVersion=[APP_VERSION]&ads.appName=XumoPlay&ads.xumo_contentId=3934&ads.xumo_contentName=NBCUBravoVault&ads.xumo_providerId=3934&ads.xumo_providerName=NBCUBravoVault&ads.channelId=99951242&ads._fw_ifa_type=[IFA_TYPE]","200","14"
"cbs_us","CBS","CBS","US","General","","https://stream.ads.ottera.tv/playlist.m3u8?network_id=5529","200","1030"
"cbs_news_us","CBS News","CBS News","US","News","CBSNews.us","https://cbsnews.akamaized.net/hls/live/2020607/cbsnlineup_8/master.m3u8","200","1025"
"charge_1080p_us","Charge","Charge! (1080p)","US","Movies","Charge.us@SD","https://fast-channels.sinclairstoryline.com/CHARGE/index.m3u8","206","613"
