"id","region","name","group_title","tvg_id","last_status","stream_url"
"bbc_news_pashto_720p_uk","UK","BBC News Pashto (720p)","Undefined","BBCNewsPashto.uk@HD","206","https://vs-cmaf-pushb-ww.live.cf.md.bbci.co.uk/x=4/i=urn:bbc:pips:service:bbc_afghan_tv/pc_hd_abr_v2.mpd"
"bloomberg_originals_global_uk","UK","Bloomberg Originals Global","Documentary","BloombergOriginals.us@SD","206","https://www.bloomberg.com/media-manifest/streams/originals-global.m3u8"
"cnbc_uk_geo_uk","UK","CNBC (UK) Geo","General","","200","https://amg01079-nbcuuk-amg01079c2-lg-gb-2030.playouts.now.amagi.tv/playlist/amg01079-nbcuukfast-cnbcuk-lggb/playlist.m3u8"
"cnbc_europe_uk","UK","CNBC Europe","Business","CNBCEurope.uk","200","https://amg01079-nbcuuk-amg01079c1-samsung-es-1261.playouts.now.amagi.tv/playlist/amg01079-nbcuukfast-cnbcpe-samsunges/playlist.m3u8"
"cnn_fast_gb_geo_uk_2","UK","CNN FAST (GB) Geo","General","","200","https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg00405-rakutentv-cnnfastlg-rakuten-lggb/playlist.m3u8"
"cnn_fast_gb_geo_uk","UK","CNN Fast (GB) Geo","General","","206","https://amg00803-cnnfast-amg00803c6-lg-gb-5355.playouts.now.amagi.tv/playlist.m3u8"
"dunya_news_uk_feed_720p_not_24_7_uk","UK","Dunya News (UK Feed) (720p) [Not 24/7]","News","DunyaNewsUK.uk@SD","206","https://ukintl.dunyanews.tv/liveuk/ngrp:dunyalive_all/playlist.m3u8"
"gb_news_uk","UK","GB News","News","GBNews.uk@SD","200","https://amg01076-lightning-amg01076c7-lg-gb-2019.playouts.now.amagi.tv/playlist/amg01076-lightning-gbnews-lggb/playlist.m3u8"
"now_70s_720p_uk","UK","Now 70s (720p)","Music","Now70s.uk@SD","206","https://lightningnow70-samsungau.amagi.tv/playlist.m3u8"
"now_70s_gb_geo_uk","UK","Now 70s (GB) Geo","General","","200","https://amg01076-lightning-amg01076c2-lg-gb-2021.playouts.now.amagi.tv/playlist/amg01076-lightning-now70s-lggb/playlist.m3u8"
"now_80s_1080p_uk","UK","Now 80s (1080p)","Music","Now80s.uk@SD","206","https://lightningnow80-samsungau.amagi.tv/playlist.m3u8"
"pbs_history_gb_geo_uk","UK","PBS History (GB) Geo","General","","200","https://amg02333-pbs-amg02333c3-lg-gb-1988.playouts.now.amagi.tv/playlist/amg02333-pbsdistributionfast-pbshistory-lggb/playlist.m3u8"
"pbs_science_gb_geo_uk","UK","PBS Science (GB) Geo","General","","206","https://amg02333-pbs-amg02333c10-lg-gb-3238.playouts.now.amagi.tv/playlist.m3u8"
