"network","status","matched_channel"
"A&E","probable","A&E Crime 360"
"ABC","probable","ABC News Live"
"AccuWeather Network","exact","Accuweather"
"Adult Swim","missing",""
"Al Jazeera America","missing",""
"Amazon Prime Video","missing",""
"AMC","probable","AMC Thrillers"
"American Crimes","exact","American Crimes"
"American Heroes Channel","missing",""
"AMTV","missing",""
"Animal Planet","probable","ET"
"Antenna TV","missing",""
"AXS TV","missing",""
"Azteca América","missing",""
"Baby First TV","probable","The First TV (1080p)"
"BBC America","exact","BBC America"
"BeIN Sports","probable","beIN SPORTS XTRA"
"BeIN Sports Español","missing",""
"BET","probable","BET Classics"
"BET Her","probable","ET"
"Big Ten Network","missing",""
"Black News Channel","exact","Black News Channel (1080p)"
"Boomerang","missing",""
"Bounce TV","probable","Bounce XL"
"Bravo","probable","Bravo Vault"
"Cartoon Network","missing",""
"Catchy Comedy","missing",""
"CBS","exact","CBS"
"Charge!","exact","Charge! (1080p)"
"Chiller","missing",""
"Cinelatino","probable","Tin TV (720p)"
"Cinemax","missing",""
"Cleo TV","probable","McLeod's Daughters"
"Cloo","missing",""
"CMT","missing",""
"CNBC","exact","CNBC Ⓨ"
"CNN","probable","CNN Headlines"
"CNN Español","missing",""
"Comedy Central","missing",""
"Comedy.TV","probable","Xumo Free Comedy TV"
"Comet","exact","Comet (1080p)"
"Cooking Channel","missing",""
"Court TV","exact","Court TV"
"Cowboy Channel, The","missing",""
"Cozi TV","missing",""
"CW, The","probable","myTV San Antonio TX (KCWX-TV) (720p) [Not 24/7]"
"Dabl","missing",""
"Defy TV","missing",""
"Destination America","probable","ION"
"Discovery Channel","probable","Discovery Turbo TV"
"Discovery Español","missing",""
"Discovery Familia","missing",""
"Discovery Family","missing",""
"Discovery Life","missing",""
"Discovery Turbo","exact","Discovery Turbo TV"
"Disney Channel","missing",""
"Disney Junior","missing",""
"Disney XD","missing",""
"DuMont Television Network","probable","ION"
"E!: Entertainment Television","probable","ION"
"El Rey Network","missing",""
"ESPN","missing",""
"ESPN Deportes","missing",""
"ESPN2","missing",""
"ESPNU","missing",""
"Esquire Network","missing",""
"Estrella TV","exact","Estrella TV (1080p)"
"Family Entertainment Television","probable","ION"
"Food Network","probable","BBC Food"
"FOX","probable","LiveNOW from FOX"
"Fox Business Network","missing",""
"Fox Deportes","missing",""
"Fox Life","missing",""
"Fox News Channel","probable","Fox News Radio (720p)"
"Fox Sports 1","probable","FOX Sports"
"Fox Sports 2","probable","FOX Sports"
"Freeform","missing",""
"Fuse","missing",""
"FX","probable","FX Latin America South (720p)"
"FX Movie Channel","missing",""
"FXX","missing",""
"FYI","missing",""
"G4","missing",""
"GalaNovelas","missing",""
"Galavisión","missing",""
"Game Show Network","probable","Game Show Central (720p)"
"Get","probable","ET"
"Golf Channel","probable","GOLFPASS"
"Great American Family","missing",""
"Grit","probable","Grit Xtra (1080p)"
"H2","missing",""
"Hallmark Channel","probable","Hallmark Movies & More"
"Hallmark Family","missing",""
"Hallmark Mystery","probable","Mystery TV (1080p)"
"HBO","probable","HBO Boxing"
"Heroes & Icons","missing",""
"HGTV","missing",""
"History","probable","Classic Car Auctions by History"
"HLN","missing",""
"Hogar de HGTV","missing",""
"IFC","missing",""
"INSP","probable","Western Bound Wrangled by INSP"
"Investigation Discovery","probable","ION"
"Ion Mystery","exact","ION Mystery"
"Ion Plus","exact","ION Plus"
"Ion Television","probable","ION"
"Justice Central","missing",""
"Laff","probable","Laff More"
"Lifetime","probable","Matched Married Meet by Lifetime"
"LMN","probable","TVS Film Noir Network (720p)"
"Logo TV","probable","Logo Pluto TV"
"Magnolia Network","missing",""
"Merit Street","probable","ET"
"MeTV","probable","ET"
"MeTV Toons","probable","ET"
"MLB Network","missing",""
"MS NOW","missing",""
"MTV","probable","MTV en español"
"MTV Classic","missing",""
"MTV2","missing",""
"Nat Geo Mundo","missing",""
"National Geographic","probable","ION"
"National Geographic Wild","probable","ION"
"NBA TV","exact","The NBA Channel"
"NBC","probable","NBC News NOW"
"NBCSN","missing",""
"Newsmax TV","exact","Newsmax TV"
"NewsNation","probable","ION"
"NFL Network","exact","NFL Channel"
"Nick at Nite","missing",""
"Nick Jr.","missing",""
"Nickelodeon","missing",""
"Nicktoons","missing",""
"Olympic Channel","missing",""
"Oprah Winfrey Network","missing",""
"Outdoor Channel","exact","Outdoor Channel (AU)"
"Ovation","probable","ION"
"Oxygen","probable","Oxygen True Crime Archives"
"Paramount Network","probable","Paramount Movie Channel"
"Paris Extra 1","missing",""
"Paris Extra 2","missing",""
"PBS","probable","PBS Nature"
"Pop","probable","Pop Flix (IE)"
"Pursuit Channel","probable","PursuitUp"
"Reelz","probable","REELZ Famous & Infamous"
"RFD-TV","missing",""
"Roar","exact","Roar (1080p)"
"Science Channel","probable","Mystery Science Theater 3000 (MST3K)"
"Scripps News","exact","Scripps News"
"Showtime","probable","It's Showtime at the Apollo"
"Smithsonian Channel","missing",""
"Sportsman Channel","missing",""
"Start TV","missing",""
"Starz","missing",""
"Starz Encore","missing",""
"Story Television","probable","ION"
"Sundance TV","missing",""
"Syfy","missing",""
"Syndication","probable","ION"
"TBS","missing",""
"TeenNick","missing",""
"Telemundo","probable","Telemundo Corpus Christi (720p)"
"TeleXitos","missing",""
"Tennis Channel","exact","Tennis Channel (DE)"
"TheGrio","missing",""
"TLC","missing",""
"TNT","missing",""
"Travel Channel","probable","Xumo Free Travel & Lifestyle TV"
"TrueReal","missing",""
"TruTV","missing",""
"TUDN","missing",""
"TV Land","probable","Heartland"
"TV Land Classic","missing",""
"TV One","probable","The Lone Ranger"
"UniMás","missing",""
"Universal Kids","probable","Kids TV (CA)"
"Universo","probable","NBC Universo West (720p)"
"Univision","probable","ION"
"Up TV","probable","PursuitUp"
"USA Network","probable","Bloomberg TV US"
"VH1","missing",""
"Vice TV","probable","Vice Entertainment"
"WAPA America","missing",""
"We TV","probable","WEDQ-DT4"
"Weather Channel, The","exact","The Weather Network (CA)"
